#SampleID	Experiment	MouseNumber	Group
ETV364_1	ETV364	1	Control CRISPR
ETV364_3	ETV364	3	Control CRISPR
ETV364_8	ETV364	8	Control CRISPR
ETV364_15	ETV364	15	Control CRISPR
ETV364_17	ETV364	17	Control CRISPR
ETV364_21	ETV364	21	Control CRISPR
ETV364_29	ETV364	29	Control CRISPR
ETV364_33	ETV364	33	Control CRISPR
ETV364_35	ETV364	35	Control CRISPR
ETV364_36	ETV364	36	Control CRISPR
ETV364_7	ETV364	7	Cyp7a1 CRISPR
ETV364_12	ETV364	12	Cyp7a1 CRISPR
ETV364_16	ETV364	16	Cyp7a1 CRISPR
ETV364_20	ETV364	20	Cyp7a1 CRISPR
ETV364_30	ETV364	30	Cyp7a1 CRISPR
ETV364_32	ETV364	32	Cyp7a1 CRISPR
ETV364_37	ETV364	37	Cyp7a1 CRISPR
ETV364_38	ETV364	38	Cyp7a1 CRISPR
ETV364_50	ETV364	50	Cyp7a1 CRISPR